epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,1147.69,1.02205,0.68864,1.13087,0.76936,0.69466,0.75916,0.42787,1.43984,0.88526,1.37011,0.000313729,0.000313729,0.000313729
84,1161.4,1.01171,0.67893,1.12343,0.81434,0.6296,0.73882,0.41661,1.42649,0.87419,1.35437,0.000297226,0.000297226,0.000297226
85,1175.11,1.01399,0.66525,1.12451,0.75279,0.65258,0.74261,0.41056,1.43694,0.86407,1.36813,0.000280723,0.000280723,0.000280723
86,1188.87,1.009,0.66644,1.11841,0.76209,0.66889,0.75049,0.41643,1.42988,0.88237,1.36848,0.00026422,0.00026422,0.00026422
87,1202.59,0.98013,0.65181,1.11252,0.78548,0.67321,0.74431,0.42204,1.44331,0.88188,1.36748,0.000247716,0.000247716,0.000247716
88,1216.55,0.97776,0.66033,1.1097,0.72963,0.67804,0.7308,0.4159,1.41697,0.86347,1.36296,0.000231213,0.000231213,0.000231213
89,1230.55,0.99269,0.65266,1.10383,0.78469,0.63673,0.72362,0.42204,1.41287,0.8631,1.35358,0.00021471,0.00021471,0.00021471
90,1244.37,0.9774,0.64774,1.10628,0.7531,0.68906,0.74136,0.41872,1.4282,0.87101,1.37586,0.000198206,0.000198206,0.000198206
91,1266.82,0.95089,0.58394,1.08276,0.78134,0.65571,0.72661,0.40632,1.43926,0.86669,1.37181,0.000181703,0.000181703,0.000181703
92,1280.23,0.94084,0.56114,1.08022,0.76284,0.68584,0.74444,0.41284,1.4137,0.85138,1.35654,0.0001652,0.0001652,0.0001652
93,1293.54,0.93337,0.55557,1.08016,0.84386,0.63663,0.74128,0.41244,1.42084,0.85976,1.36384,0.000148696,0.000148696,0.000148696
94,1306.83,0.92551,0.5533,1.06945,0.81517,0.63546,0.72525,0.4171,1.42616,0.87614,1.36583,0.000132193,0.000132193,0.000132193
95,1320.18,0.9188,0.55028,1.06673,0.77452,0.68183,0.73952,0.40534,1.42726,0.86294,1.36419,0.00011569,0.00011569,0.00011569
96,1333.47,0.90881,0.54053,1.06603,0.77478,0.68948,0.74351,0.41466,1.41616,0.85938,1.35653,9.91865e-05,9.91865e-05,9.91865e-05
97,1346.94,0.90089,0.54064,1.05941,0.82836,0.64253,0.73329,0.41926,1.40969,0.85859,1.35777,8.26832e-05,8.26832e-05,8.26832e-05
98,1360.34,0.90226,0.53259,1.05474,0.78219,0.66204,0.73924,0.4201,1.3954,0.84781,1.3505,6.61799e-05,6.61799e-05,6.61799e-05
99,1373.68,0.88777,0.52897,1.05155,0.78015,0.67838,0.73584,0.4164,1.39909,0.85482,1.35254,4.96766e-05,4.96766e-05,4.96766e-05
100,1387.01,0.89119,0.52479,1.059,0.7928,0.68163,0.74179,0.41611,1.40456,0.8554,1.35782,3.31733e-05,3.31733e-05,3.31733e-05
